交易日期,作物代號,作物名稱,市場代號,市場名稱,上價(元/公斤),中價(元/公斤),下價(元/公斤),平均價(元/公斤),交易量(公斤),
105.11.01,R1,芒果-愛文,109,台北一,265,212.5,147.5,210,60,
105.10.29,R1,芒果-愛文,104,台北二,120,120,120,120,12,
105.10.28,R1,芒果-愛文,109,台北一,298.6,176.3,110,187.5,168,
105.10.27,R1,芒果-愛文,109,台北一,350,350,350,350,6,
105.10.26,R1,芒果-愛文,104,台北二,130,130,130,130,12,
105.10.25,R1,芒果-愛文,109,台北一,320,182,137.8,200.7,162,
105.10.23,R1,芒果-愛文,104,台北二,120,120,120,120,8,
105.10.23,R1,芒果-愛文,109,台北一,334.7,209.9,152.2,223.3,108,
105.10.22,R1,芒果-愛文,104,台北二,118.2,100,100,103.6,22,
105.10.22,R1,芒果-愛文,109,台北一,275,167.3,128.9,181.2,156,
105.10.21,R1,芒果-愛文,109,台北一,322.5,164.6,115,186.3,120,
105.10.20,R1,芒果-愛文,109,台北一,346,156.7,132.9,189.8,126,
105.10.19,R1,芒果-愛文,109,台北一,333.9,145.2,116.8,177.3,186,
105.10.18,R1,芒果-愛文,104,台北二,120,120,120,120,16,
105.10.18,R1,芒果-愛文,109,台北一,388.7,168.1,95,197.6,222,
105.10.16,R1,芒果-愛文,109,台北一,324.5,135.2,91.6,164.3,174,
105.10.15,R1,芒果-愛文,104,台北二,130,130,130,130,4,
105.10.15,R1,芒果-愛文,109,台北一,361.6,137.2,85,171.6,258,
105.10.14,R1,芒果-愛文,104,台北二,130,130,130,130,4,
105.10.14,R1,芒果-愛文,109,台北一,321.1,162,100,181.4,84,
105.10.13,R1,芒果-愛文,104,台北二,150,150,150,150,4,
105.10.13,R1,芒果-愛文,109,台北一,239.4,116.5,67.1,131.2,102,
105.10.12,R1,芒果-愛文,104,台北二,125,125,125,125,8,
105.10.12,R1,芒果-愛文,109,台北一,273,144.4,104.8,162.2,138,
105.10.11,R1,芒果-愛文,109,台北一,271.4,134.5,88.8,152.7,312,
105.10.09,R1,芒果-愛文,104,台北二,125,125,125,125,12,
105.10.09,R1,芒果-愛文,109,台北一,295.3,195.8,114.6,199.4,216,
105.10.08,R1,芒果-愛文,109,台北一,369.4,171.9,108.4,198.7,186,
105.10.08,R1,芒果-愛文,241,三重區,130,130,130,130,7,
105.10.07,R1,芒果-愛文,104,台北二,418.8,295.8,125,286.3,32,
105.10.07,R1,芒果-愛文,109,台北一,341,148.5,92.9,175.9,276,
105.10.06,R1,芒果-愛文,109,台北一,385,133.7,80,173.2,252,
105.10.05,R1,芒果-愛文,109,台北一,279.9,130.3,80.6,150.3,307,
105.10.04,R1,芒果-愛文,104,台北二,450,259.5,85.7,262.9,21,
105.10.04,R1,芒果-愛文,109,台北一,425.5,157.2,71.1,193.6,306,
105.10.02,R1,芒果-愛文,104,台北二,351.8,120,120,166.4,66,
105.10.02,R1,芒果-愛文,109,台北一,452.1,192.6,83.2,222.6,269,
105.10.01,R1,芒果-愛文,104,台北二,654.6,183.5,128,266.6,78,
105.10.01,R1,芒果-愛文,109,台北一,421.7,179.1,76.5,207.1,288,
105.09.30,R1,芒果-愛文,104,台北二,100,100,100,100,36,
105.09.30,R1,芒果-愛文,109,台北一,339.4,190.9,96.2,201.7,288,
105.09.29,R1,芒果-愛文,104,台北二,450,298.3,145,298,30,
105.09.29,R1,芒果-愛文,109,台北一,457,199.7,104.1,232.1,378,
105.09.28,R1,芒果-愛文,104,台北二,110,110,110,110,32,
105.09.28,R1,芒果-愛文,109,台北一,400,375,350,375,12,
105.09.27,R1,芒果-愛文,104,台北二,646.4,361.2,157.5,377.5,84,
105.09.27,R1,芒果-愛文,109,台北一,425,210.1,100.4,231.2,360,
105.09.25,R1,芒果-愛文,104,台北二,416.7,369.4,183.3,341.7,36,
105.09.25,R1,芒果-愛文,109,台北一,400,163.9,85,195.4,330,
105.09.24,R1,芒果-愛文,104,台北二,391.1,299.3,138.9,285.6,54,
105.09.24,R1,芒果-愛文,109,台北一,676.3,246.1,115.2,305.9,162,
105.09.23,R1,芒果-愛文,104,台北二,394.6,273.6,136.8,270.5,66,
105.09.23,R1,芒果-愛文,109,台北一,548.9,191.9,95,243.9,216,
105.09.23,R1,芒果-愛文,260,宜蘭市,270,180,60,180,1280,
105.09.22,R1,芒果-愛文,104,台北二,428.2,241.4,143.2,259.1,102,
105.09.22,R1,芒果-愛文,109,台北一,574.5,136.2,75.6,211.8,314,
105.09.22,R1,芒果-愛文,241,三重區,77,70.3,57,69,60,
105.09.22,R1,芒果-愛文,260,宜蘭市,270,190,60,195,1160,
105.09.21,R1,芒果-愛文,104,台北二,383.3,279.4,140,272.3,90,
105.09.21,R1,芒果-愛文,109,台北一,557.1,159.9,76.2,222.6,276,
105.09.21,R1,芒果-愛文,260,宜蘭市,280,200,60,195,1350,
105.09.20,R1,芒果-愛文,104,台北二,406.1,287.6,138.7,281.5,138,
105.09.20,R1,芒果-愛文,109,台北一,466.2,138.4,70.6,190.4,464,
105.09.20,R1,芒果-愛文,260,宜蘭市,200,130,60,125,1550,
105.09.18,R1,芒果-愛文,104,台北二,368.6,245.7,132.9,247.7,210,
105.09.18,R1,芒果-愛文,109,台北一,279.7,117.4,72.7,140.9,1748,
105.09.18,R1,芒果-愛文,260,宜蘭市,200,130,60,125,1250,
105.09.18,R1,芒果-愛文,800,高雄市,90,90,90,90,30,
105.09.15,R1,芒果-愛文,104,台北二,370.4,185.1,62.1,197.6,328,
105.09.15,R1,芒果-愛文,109,台北一,511.5,211.3,90.4,247.2,390,
105.09.15,R1,芒果-愛文,260,宜蘭市,250,160,70,158,1880,
105.09.15,R1,芒果-愛文,800,高雄市,100,100,100,100,80,
105.09.14,R1,芒果-愛文,104,台北二,384.3,277.2,107.9,264.8,201,
105.09.14,R1,芒果-愛文,109,台北一,382.4,133.4,66.8,169.9,1776,
105.09.14,R1,芒果-愛文,241,三重區,120,105,60,99,144,
105.09.14,R1,芒果-愛文,260,宜蘭市,250,160,70,157,2180,
105.09.14,R1,芒果-愛文,400,台中市,80,70,60,71.4,700,
105.09.13,R1,芒果-愛文,104,台北二,362.3,245.9,75.7,235.1,438,
105.09.13,R1,芒果-愛文,109,台北一,451.6,145.1,45,186.4,1049,
105.09.13,R1,芒果-愛文,260,宜蘭市,250,160,70,158,1850,
105.09.13,R1,芒果-愛文,400,台中市,80,70,60,70,900,
105.09.13,R1,芒果-愛文,800,高雄市,100,100,100,100,80,
105.09.11,R1,芒果-愛文,104,台北二,365.9,267.8,128.5,259.6,204,
105.09.11,R1,芒果-愛文,109,台北一,362.1,156.5,87.6,183.8,811,
105.09.11,R1,芒果-愛文,241,三重區,96.9,57.7,55,65,234,
105.09.11,R1,芒果-愛文,260,宜蘭市,230,160,70,155,1480,
105.09.11,R1,芒果-愛文,800,高雄市,100,100,100,100,60,
105.09.10,R1,芒果-愛文,104,台北二,366.2,227.9,66.9,223.4,182,
105.09.10,R1,芒果-愛文,109,台北一,384.1,150.9,66.8,180.7,944,
105.09.10,R1,芒果-愛文,241,三重區,150,118.6,52.4,111.7,156,
